Title,Author,Score,Ratings,Shelvings,Published
Best Ghost Stories of J.S. Le Fanu,J. Sheridan Le Fanu,4.15,1667,4763,1964
"Desert Heat (Joanna Brady, #1)",J.A. Jance,4.02,14148,19332,1993
The Color Purple,Alice Walker,4.27,687106,870023,1982
The Washing of the Spears,Donald R. Morris,4.24,963,3186,1965
"Nothing's Fair in Fifth Grade (Elsie Edwards, #1)",Barthe DeClements,3.95,11875,15752,1981
The Way of the Heart: The Spirituality of the Desert Fathers and Mothers,Henri J.M. Nouwen,4.28,7936,14869,1981
عيناك قدري,غادة السمان,3.57,2894,10694,1962
"Too Safe (Boys of Lake Chapel, #1)",Abby Millsaps,4.21,4339,13671,2023
"Dead Reckoning (Sookie Stackhouse, #11)",Charlaine Harris,3.81,128048,169616,2011
"Because of Miss Bridgerton (Rokesbys, #1)",Julia Quinn,3.94,64837,109062,2016
Why We Can't Wait,Martin Luther King Jr.,4.54,8428,27458,1964
The Woods are Waiting,Katherine  Greene,3.43,1180,15799,2023
The Old Genie Hottabych,Lazar Lagin,4.09,1529,1275,1938
Cronaca familiare,Vasco Pratolini,3.96,1031,1019,1947
"Thunderhead (Arc of a Scythe, #2)",Neal Shusterman,4.4,178968,280553,2018
Notre-Dame-des-Fleurs,Jean Genet,4.02,6379,1156,1943
Lover's Gift,Rabindranath Tagore,4.21,33,115,1917
Poems of Fernando Pessoa,Fernando Pessoa,4.49,4002,9068,1930
"Dead Witch Walking (The Hollows, #1)",Kim Harrison,4.04,126363,200114,2004
"Asterix in Corsica (Asterix, #20)",René Goscinny,4.15,6880,8044,1973
"Crowns of Ice (Fae of Snow & Ice, #4)",Krista Street,4.15,4312,14704,2024
The American Way of Death Revisited,Jessica Mitford,3.97,2487,11801,1963
"The Americans, Vol. 1: The Colonial Experience",Daniel J. Boorstin,4.01,1054,3447,1958
"To Green Angel Tower (Memory, Sorrow, and Thorn, #3)",Tad Williams,4.2,35389,47196,1993
Peig: The Autobiography of Peig Sayers of the Great Blasket Island (Irish Studies),Peig Sayers,3.66,386,972,1936
"Vampire Academy (Vampire Academy, #1)",Richelle Mead,4.11,644643,786941,2007
